,emotion,top face,scrambling,emotion intensity,left face,gender,correct answer,block,right face
184,happiness,24M_HA_C100_cell18rand_a.jpg,18,100,24M_HA_C100_cell18rand_a.jpg,m,left,46,24M_HA_C100_cell18rand_b.jpg
185,fear,08F_FE_C100_cell18rand_a.jpg,18,100,08F_FE_C100_cell18rand_a.jpg,f,left,46,08F_FE_C100_cell18rand_b.jpg
186,fear,22M_FE_C100_cell18rand_a.jpg,18,100,22M_FE_C100_cell18rand_a.jpg,m,left,46,22M_FE_C100_cell18rand_b.jpg
187,happiness,07F_HA_C100_cell18rand_a.jpg,18,100,07F_HA_C100_cell18rand_b.jpg,f,right,46,07F_HA_C100_cell18rand_a.jpg
188,happiness,25M_HA_C100_cell18rand_a.jpg,18,100,25M_HA_C100_cell18rand_b.jpg,m,right,47,25M_HA_C100_cell18rand_a.jpg
189,happiness,06F_HA_C100_cell18rand_a.jpg,18,100,06F_HA_C100_cell18rand_a.jpg,f,left,47,06F_HA_C100_cell18rand_b.jpg
190,fear,24M_FE_C100_cell18rand_a.jpg,18,100,24M_FE_C100_cell18rand_b.jpg,m,right,47,24M_FE_C100_cell18rand_a.jpg
191,happiness,26M_HA_C100_cell18rand_a.jpg,18,100,26M_HA_C100_cell18rand_a.jpg,m,left,47,26M_HA_C100_cell18rand_b.jpg
192,happiness,28M_HA_C100_cell22rand_a.jpg,22,100,28M_HA_C100_cell22rand_a.jpg,m,left,48,28M_HA_C100_cell22rand_b.jpg
193,fear,22M_FE_C100_cell22rand_a.jpg,22,100,22M_FE_C100_cell22rand_a.jpg,m,left,48,22M_FE_C100_cell22rand_b.jpg
194,fear,26M_FE_C100_cell22rand_a.jpg,22,100,26M_FE_C100_cell22rand_b.jpg,m,right,48,26M_FE_C100_cell22rand_a.jpg
195,fear,03F_FE_C100_cell22rand_a.jpg,22,100,03F_FE_C100_cell22rand_a.jpg,f,left,48,03F_FE_C100_cell22rand_b.jpg
196,happiness,01F_HA_C100_cell22rand_a.jpg,22,100,01F_HA_C100_cell22rand_b.jpg,f,right,49,01F_HA_C100_cell22rand_a.jpg
197,happiness,23M_HA_C100_cell22rand_a.jpg,22,100,23M_HA_C100_cell22rand_a.jpg,m,left,49,23M_HA_C100_cell22rand_b.jpg
198,fear,23M_FE_C100_cell22rand_a.jpg,22,100,23M_FE_C100_cell22rand_b.jpg,m,right,49,23M_FE_C100_cell22rand_a.jpg
199,fear,01F_FE_C100_cell22rand_a.jpg,22,100,01F_FE_C100_cell22rand_b.jpg,f,right,49,01F_FE_C100_cell22rand_a.jpg
200,happiness,21M_HA_C100_cell22rand_a.jpg,22,100,21M_HA_C100_cell22rand_a.jpg,m,left,50,21M_HA_C100_cell22rand_b.jpg
201,fear,25M_FE_C100_cell22rand_a.jpg,22,100,25M_FE_C100_cell22rand_a.jpg,m,left,50,25M_FE_C100_cell22rand_b.jpg
202,happiness,24M_HA_C100_cell22rand_a.jpg,22,100,24M_HA_C100_cell22rand_a.jpg,m,left,50,24M_HA_C100_cell22rand_b.jpg
203,fear,02F_FE_C100_cell22rand_a.jpg,22,100,02F_FE_C100_cell22rand_b.jpg,f,right,50,02F_FE_C100_cell22rand_a.jpg
204,happiness,06F_HA_C100_cell22rand_a.jpg,22,100,06F_HA_C100_cell22rand_a.jpg,f,left,51,06F_HA_C100_cell22rand_b.jpg
205,happiness,05F_HA_C100_cell22rand_a.jpg,22,100,05F_HA_C100_cell22rand_b.jpg,f,right,51,05F_HA_C100_cell22rand_a.jpg
206,fear,24M_FE_C100_cell22rand_a.jpg,22,100,24M_FE_C100_cell22rand_a.jpg,m,left,51,24M_FE_C100_cell22rand_b.jpg
207,fear,04F_FE_C100_cell22rand_a.jpg,22,100,04F_FE_C100_cell22rand_a.jpg,f,left,51,04F_FE_C100_cell22rand_b.jpg
208,fear,21M_FE_C100_cell22rand_a.jpg,22,100,21M_FE_C100_cell22rand_b.jpg,m,right,52,21M_FE_C100_cell22rand_a.jpg
209,happiness,22M_HA_C100_cell22rand_a.jpg,22,100,22M_HA_C100_cell22rand_b.jpg,m,right,52,22M_HA_C100_cell22rand_a.jpg
210,happiness,26M_HA_C100_cell22rand_a.jpg,22,100,26M_HA_C100_cell22rand_a.jpg,m,left,52,26M_HA_C100_cell22rand_b.jpg
211,fear,08F_FE_C100_cell22rand_a.jpg,22,100,08F_FE_C100_cell22rand_a.jpg,f,left,52,08F_FE_C100_cell22rand_b.jpg
212,happiness,07F_HA_C100_cell22rand_a.jpg,22,100,07F_HA_C100_cell22rand_a.jpg,f,left,53,07F_HA_C100_cell22rand_b.jpg
213,fear,07F_FE_C100_cell22rand_a.jpg,22,100,07F_FE_C100_cell22rand_b.jpg,f,right,53,07F_FE_C100_cell22rand_a.jpg
214,happiness,03F_HA_C100_cell22rand_a.jpg,22,100,03F_HA_C100_cell22rand_b.jpg,f,right,53,03F_HA_C100_cell22rand_a.jpg
